1,1,iseadra,Start,11:32:10
2,1,iseadra,Success,11:32:10
3,2,tszechwa,Start,12:02:10
4,2,tszechwa,Success,12:02:10
5,3,qreiko,Start,11:32:10
6,3,qreiko,Success,11:32:10
7,4,jsharika,Start,12:02:10
8,4,jsharika,Success,12:02:10
9,5,iseadra,Start,11:32:10
10,5,iseadra,Success,11:32:10
11,6,tszechwa,Start,12:02:10
12,6,tszechwa,Success,12:02:10
13,7,qreiko,Start,11:32:10
14,7,qreiko,Success,11:32:10
15,8,jsharika,Start,12:02:10
16,8,jsharika,Success,12:02:10
17,9,iseadra,Start,11:32:10
18,9,iseadra,Success,11:32:10
19,10,tszechwa,Start,12:02:10
20,10,tszechwa,Success,12:02:10
21,11,xerminia,Start,11:32:10
22,11,xerminia,Success,11:32:10
23,12,tszechwa,Start,12:02:10
24,12,tszechwa,Success,12:02:10
25,13,qreiko,Start,11:32:10
26,13,qreiko,Success,11:32:10
27,14,jsharika,Start,12:02:10
28,14,jsharika,Success,12:02:10
29,15,xerminia,Start,11:32:10
30,15,xerminia,Success,11:32:10
31,16,tszechwa,Start,12:02:10
32,16,tszechwa,Success,12:02:10
33,17,qreiko,Start,11:32:10
34,17,qreiko,Success,11:32:10
35,18,jsharika,Start,12:02:10
36,18,jsharika,Success,12:02:10
37,19,xerminia,Start,11:32:10
38,19,xerminia,Success,11:32:10
39,20,tszechwa,Start,12:02:10
40,20,tszechwa,Success,12:02:10
41,21,xerminia,Start,11:32:10
42,21,xerminia,Success,11:32:10
43,22,iseadra,Start,12:02:10
44,22,iseadra,Success,12:02:10
45,23,qreiko,Start,11:32:10
46,23,qreiko,Failure,11:32:10
47,24,jsharika,Start,12:02:10
48,24,jsharika,Success,12:02:10
49,25,xerminia,Start,11:32:10
50,25,xerminia,Success,11:32:10
51,26,iseadra,Start,12:02:10
52,26,iseadra,Success,12:02:10
53,27,qreiko,Start,11:32:10
54,27,qreiko,Success,11:32:10
55,28,jsharika,Start,12:02:10
56,28,jsharika,Success,12:02:10
57,29,xerminia,Start,11:32:10
58,29,xerminia,Success,11:32:10
59,30,iseadra,Start,12:02:10
60,30,iseadra,Success,12:02:10
61,31,dclaudie,Start,17:30:30
62,31,dclaudie,Success,17:50:30
63,32,xerminia,Start,17:30:30
64,32,xerminia,Success,17:50:30
65,33,tszechwa,Start,17:30:30
66,33,tszechwa,Failure,17:50:30
67,34,tszechwa,Start,17:30:30
68,34,tszechwa,Success,17:50:30
